datetime,date,time,city,state,country,shape,duration (seconds),duration (hours/min),comments,latitude,longitude,lighting_conditions
7/29/2012 02:30,2012-07-29,02:30,devon (canada),ab,ca,light,10800,3 hours,Saw 3 bright lights and 2 smaller lights in the sky with strange zig zag moving patterns&#44. ((NUFORC Note:  Planets in E sky.  PD)),53.37,-113.73,night
7/29/2012 02:47,2012-07-29,02:47,sevierville,tn,us,fireball,45,30-45 seconds,Strange orange fireball over Sevierville TN&#44 just vanishes.,35.87,-83.56,night
7/29/2012 03:00,2012-07-29,03:00,kill devil hills,nc,us,fireball,120,1-2 minutes,Four fireballs moving across the night sky.,36.03,-75.68,night
7/29/2012 04:00,2012-07-29,04:00,new prague,mn,us,flash,5,3-5 seconds,Light burst and beams of light,44.54,-93.58,night
7/29/2012 11:00,2012-07-29,11:00,winterset,ia,us,fireball,300,5 minutes,Sighting was seen by several witnesess. Appeared to be just dots in the sky bit as I drove closer to themthey appeared to be like balls,41.33,-94.01,daylight
7/29/2012 18:40,2012-07-29,18:40,cleveland (australia),,au,circle,480,8 minutes,Three pink/orange spheres spotted over Cleveland&#44 Queensland&#44 Australia,-41.8,147.4,night
7/29/2012 20:50,2012-07-29,20:50,monroe,ct,us,light,300,4-5 minutes,Bright orange light hovering in sky&#44 then flies off only to reappear minutes later .,41.33,-73.21,night
7/29/2012 21:00,2012-07-29,21:00,asheville,nc,us,cigar,120,2 minutes,Two cigar shaped objects spotted over downtown Asheville&#44 NC.,35.6,-82.55,night
7/29/2012 21:30,2012-07-29,21:30,ann arbor,mi,us,cylinder,1200,20 minutes,12 orange lights in a v formation ann arbor 7/212,42.27,-83.73,night
7/29/2012 21:30,2012-07-29,21:30,gap,pa,us,fireball,1200,15 - 20 minutes,6 fireballs traveling in Pennsylvania.,39.99,-76.02,night
7/29/2012 21:38,2012-07-29,21:38,shelbyville,in,us,fireball,120,2 minutes,Looked like a fire with flames flying across the sky,39.52,-85.78,night
7/29/2012 21:38,2012-07-29,21:38,shelbyville,in,us,fireball,120,2 minutes,Orange object appeared to be on fire seen by 4 in Shelbyville&#44 Indiana,39.52,-85.78,night
7/29/2012 22:00,2012-07-29,22:00,bowie,md,us,light,1,1 second,UFO sighting with sparks at the end of the light before it dissapeared,39.01,-76.78,night
7/29/2012 22:00,2012-07-29,22:00,buffalo,ny,us,fireball,120,2 minutes,Bright orange orb moving swiftly,42.89,-78.88,night
7/29/2012 22:00,2012-07-29,22:00,portland,or,us,flash,900,15 minutes,Last night walking north on 39th ave&#44 my father and I witnessed at least 100 red orbs that flashed coming from the west over the city o,45.52,-122.68,night
7/29/2012 22:05,2012-07-29,22:05,brooklyn,mi,us,light,180,2-3 minutes,A bright orange light moving slowly across the sky for 2-3 minutes.,42.11,-84.25,night
7/29/2012 22:21,2012-07-29,22:21,sinking spring,pa,us,circle,300,5 minutes,3 reddish orange slow moving lights in the sky,40.33,-76.01,night
7/29/2012 22:30,2012-07-29,22:30,mississauga (canada),on,ca,other,60,1 minute,We observed a orange/red kite like object floating thru the sky higher and higher in the dark of the night sky&#44 there was no sound&#44 and,43.15,-79.5,night
7/29/2012 23:00,2012-07-29,23:00,granite falls,nc,us,teardrop,30,about 30 seconds,Figures inside the UFO short black eyes UFO metallic color called friend andhe said he was hunting and he said he saw,35.8,-81.43,night
7/29/2012 23:00,2012-07-29,23:00,highland,in,us,fireball,180,3 minutes,Fireball seen near Chicago&#44 IL.,39.79,-87.4,night
7/29/2012 23:30,2012-07-29,23:30,coeur d&#39alene,id,us,circle,60,1 minute,Large Orange Red Circle,47.68,-116.78,night
7/29/2012 23:30,2012-07-29,23:30,ithaca,ny,us,unknown,180,2-3 minutes,Reddish/orange and white flashing object in sky at Ithaca NY,42.44,-76.5,night
7/29/2013 00:30,2013-07-29,00:30,wildwood,nj,us,circle,900,15 minutes,Four orange orbs of light above the Atlantic Ocean.,38.99,-74.82,night
7/29/2013 01:00,2013-07-29,01:00,buffalo,ny,us,,10,10 seconds,Loud noise heard in sky.,42.89,-78.88,night
7/29/2013 01:15,2013-07-29,01:15,wildwood crest,nj,us,circle,300,5 minutes,Orange glowing device flying high over ocean,38.97,-74.83,night
7/29/2013 01:30,2013-07-29,01:30,casper,wy,us,triangle,15,10-15 seconds,I went out on the front porch while letting my dogs out and while looking up at the stars  i detected some moving lights to my right an,42.87,-106.31,night
7/29/2013 02:00,2013-07-29,02:00,denver,co,us,sphere,5400,1.5 hours,Transparent red balloon/bubble thing with lights. Had intelligence,39.74,-104.98,night
7/29/2013 07:09,2013-07-29,07:09,woodbridge,va,us,sphere,120,2 minutes,In 234 commuter parking lot when looked up and saw a spinning white orb moving directly overhead in a very straight line&#44 as I watched&#44,38.66,-77.25,daylight
7/29/2013 09:30,2013-07-29,09:30,prospect,ct,us,diamond,600,10 minutes,Black dimond shaped over Hotchkiss Field area at 9:30 in the morning,41.5,-72.98,daylight
7/29/2013 10:23,2013-07-29,10:23,indianapolis,in,us,sphere,600,8-10 minutes,Bright Orange Sphere over Far Southside of Indianapolis,39.77,-86.16,daylight
7/29/2013 17:00,2013-07-29,17:00,oakland,ca,us,cigar,20,20 seconds,White cigar shaped above Oakland airport,37.8,-122.27,daylight
7/29/2013 18:35,2013-07-29,18:35,madison,al,us,egg,10,8-10 seconds,UFO sighting in Huntsville/Madison&#44 AL,34.7,-86.75,night
7/29/2013 18:35,2013-07-29,18:35,madison,al,us,egg,10,8-10 seconds,UFO sighting in Huntsville/Madison&#44 AL  Just after finishing dinner on 7-29-2013&#44 I walked out onto the front porch. It was approximate,34.7,-86.75,night
7/29/2013 20:30,2013-07-29,20:30,springfeild,va,,flash,60,30-60 seconds,White&#44 red&#44 purple&#44 and green flashing lights over Springfeild&#44 VA,38.79,-77.19,night
7/29/2013 20:30,2013-07-29,20:30,vichy/vienna (between),mo,,light,3,3 seconds,Small Red Light at Car Level,38.19,-91.95,night
7/29/2013 20:45,2013-07-29,20:45,gallatin/red hook,ny,,light,20,20 seconds,UFO report. Columbia County&#44 Town of Gallatin NY .  Star like object drops behind cloud.  My wife and I moved outside at 8:45 p,40.69,-73.99,night
7/29/2013 21:00,2013-07-29,21:00,calais,vt,,unknown,240,4 minutes,Quiet bright orange object in the sky--maybe a balloon&#44 but rather late to be floating about and it was a windy evening.,44.36,-72.47,night
7/29/2013 21:14,2013-07-29,21:14,mountain home,ar,us,fireball,40,30-40 seconds,Orange Red Fireball traveling west then north.,36.34,-92.38,night
7/29/2013 21:30,2013-07-29,21:30,goodyear,az,us,fireball,1410,23:30,Orange Lights over Buckeye/Goodyear Arizona,33.44,-112.36,night
7/29/2013 21:30,2013-07-29,21:30,greenville,sc,us,sphere,180,2-3 minutes,7-8 yellow/orange lit objects flew by in loose formation.,34.85,-82.39,night
7/29/2013 21:35,2013-07-29,21:35,tagbilaran city (philippines),,,triangle,900,15 minutes,Lighted&#44 triangular shaped object observed over the Philippine islands.,9.67,123.87,night
7/29/2013 21:40,2013-07-29,21:40,vancouver,wa,us,circle,10,10 seconds,Bright green donut shape disk in sky,45.64,-122.66,night
7/29/2013 21:40,2013-07-29,21:40,vancouver,wa,us,disk,10,10 seconds,An adult male witnesses a green disc streak across the night sky.,45.64,-122.66,night
7/29/2013 21:45,2013-07-29,21:45,fayetteville,nc,us,other,300,5 minutes,Unidentified &#39barbell-shaped vessel&#39 cruises over dark country road.,35.05,-78.88,night
7/29/2013 21:45,2013-07-29,21:45,tacoma (northeast area),wa,us,sphere,5,5 seconds,Orange glowing sphere seen flying from the direction of The Cascade Mountains then over house.,47.25,-122.44,night
7/29/2013 21:50,2013-07-29,21:50,new york city (bronx),ny,us,triangle,15,10-15 seconds,HOVERING CRAFTS WITH ORANGE AND RED LIGHTS,40.71,-74.01,night
7/29/2013 22:40,2013-07-29,22:40,kingwood,tx,,formation,3,1-3 seconds,Organic Buttefly Shaped UFO.,30.06,-95.19,night
7/29/2013 23:00,2013-07-29,23:00,madison,wi,us,diamond,10,10 seconds,3 transparent gray diamond apperitions with red lights hovering high in the night sky,43.07,-89.4,night
7/29/2013 23:00,2013-07-29,23:00,south bend,in,us,light,120,2 minutes,Solid bright white light,41.68,-86.25,night
7/29/2013 23:30,2013-07-29,23:30,glendalemingle dale,az,,,600,10 minutes,Strange lights above Glendale Arizona July 29th at about 11:30 pm,34.05,-111.09,night
7/29/2013 23:45,2013-07-29,23:45,sammamish,wa,us,oval,300,5 minutes,Large oval with bright white center and fuzzy white outer edge,47.64,-122.08,night
7/29/2013 23:50,2013-07-29,23:50,bowling green,in,us,fireball,180,3 minutes,Fireball in rural indiana,39.38,-87.01,night
7/30/2007 01:30,2007-07-30,01:30,sunnyisles,fl,,disk,1080,18 min,It had no lights on,25.94,-80.12,night
7/30/2007 03:00,2007-07-30,03:00,olso (norway),,,other,60,60 seconds,Several UFOs moving around for 60 seconds over a park.,59.91,10.75,night
7/30/2007 05:15,2007-07-30,05:15,buffalo,ny,us,circle,600,5-10 minutes,Bright white light moving south from Buffalo&#44 NY at nominal speed,42.89,-78.88,night
7/30/2007 10:00,2007-07-30,10:00,visalia,ca,us,formation,8,8 seconds,Two orbs of light,36.33,-119.29,daylight
7/30/2007 12:00,2007-07-30,12:00,uk/england,,,,3600,1 hour,I was watching the McGlaphlin Group on PBS last Sunday.  They showed footage of a UFO in Englad viewed by many witnesses.  Do you have,52.36,-1.17,daylight
7/30/2007 13:00,2007-07-30,13:00,mackinaw city,mi,us,cigar,2,1 to 2 seconds,Cigar shaped ufo sighted over Mackinaw City&#44 MI&#44 traveling at extreme speed.,45.78,-84.73,daylight
